@relation Train-3-BOOKKEEPER

@attribute Version numeric
@attribute NR numeric
@attribute Size numeric
@attribute 'AVG LOC Added' numeric
@attribute Churn numeric
@attribute 'LOC Added' numeric
@attribute Nauth numeric
@attribute 'Weighted Age' numeric
@attribute 'AVG CHURN' numeric
@attribute 'MAX LOC Added' numeric
@attribute 'LOC TOUCHED' numeric
@attribute Age numeric
@attribute 'Max Churn' numeric
@attribute Buggyness {false,true}

@data
1,3,118,40,118,122,2,27,39,116,126,27,116,false
1,14,1026,89,1026,1246,3,27,73,545,1466,27,545,true
1,2,85,43,85,86,2,27,42,85,87,27,85,false
1,1,170,170,170,170,1,27,170,170,170,27,170,false
1,2,37,20,37,40,2,27,18,37,43,27,37,false
1,3,230,83,230,250,2,27,76,230,270,27,230,true
1,4,96,26,96,107,2,27,24,95,118,27,95,false
1,3,306,103,306,311,2,27,102,305,316,27,305,false
1,2,153,77,153,155,2,27,76,153,157,27,153,false
1,4,139,36,139,144,2,27,34,132,149,27,132,false
1,6,305,56,305,339,3,27,51,305,373,27,305,false
1,1,148,148,148,148,1,27,148,148,148,27,148,false
1,2,76,39,76,79,2,27,38,76,82,27,76,false
1,3,105,51,105,155,2,27,35,104,205,27,104,false
1,4,130,35,130,142,2,27,32,129,154,27,129,true
1,5,231,48,231,243,2,27,46,224,255,27,224,false
1,3,227,93,227,279,2,27,75,226,331,27,226,false
1,1,22,22,22,22,1,27,22,22,22,27,22,false
1,2,124,63,124,127,2,27,62,124,130,27,124,false
1,1,47,47,47,47,1,27,47,47,47,27,47,false
1,2,68,39,68,79,2,27,34,68,90,27,68,false
1,1,62,62,62,62,1,27,62,62,62,27,62,false
1,4,92,31,92,126,3,27,23,91,160,27,91,false
1,4,123,32,123,130,2,27,30,122,137,27,122,false
1,1,74,74,74,74,1,27,74,74,74,27,74,false
1,2,60,30,60,61,2,27,30,60,62,27,60,false
1,3,260,92,260,276,2,27,86,260,292,27,260,true
1,3,429,168,429,506,2,27,143,428,583,27,428,true
1,5,128,27,128,137,3,27,25,127,146,27,127,false
1,1,39,39,39,39,1,27,39,39,39,27,39,false
1,3,83,28,83,86,2,27,27,82,89,27,82,false
1,2,48,27,48,55,2,27,24,48,62,27,48,false
1,1,42,42,42,42,1,27,42,42,42,27,42,false
1,4,137,37,137,150,2,27,34,136,163,27,136,true
1,2,87,44,87,88,2,27,43,87,89,27,87,false
1,7,551,89,551,621,3,27,79,536,691,27,536,true
1,3,88,30,88,91,2,27,29,87,94,27,87,false
1,9,603,76,603,683,3,27,67,573,763,27,573,true
1,1,81,81,81,81,1,27,81,81,81,27,81,true
1,4,315,79,315,319,3,27,78,311,323,27,311,false
1,1,32,32,32,32,1,27,32,32,32,27,32,true
1,3,148,52,148,158,2,27,49,147,168,27,147,false
1,2,78,41,78,82,2,27,39,78,86,27,78,false
1,2,31,16,31,32,2,27,15,31,33,27,31,false
1,5,137,53,137,269,3,27,27,126,401,27,126,false
1,6,103,21,103,127,2,27,17,101,151,27,101,true
1,4,258,69,258,278,3,27,64,256,298,27,256,false
1,3,159,54,159,163,2,27,53,158,167,27,158,false
1,2,52,27,52,54,2,27,26,52,56,27,52,true
1,2,47,25,47,51,2,27,23,47,55,27,47,false
1,1,50,50,50,50,1,27,50,50,50,27,50,false
1,4,114,30,114,123,2,27,28,113,132,27,113,true
1,1,46,46,46,46,1,27,46,46,46,27,46,false
1,12,762,122,762,1462,3,27,64,547,2162,27,547,true
1,3,132,46,132,139,3,27,44,75,146,27,75,false
1,1,43,43,43,43,1,27,43,43,43,27,43,true
1,2,41,21,41,42,2,27,20,41,43,27,41,false
1,12,257,27,257,322,3,27,22,176,387,27,176,true
1,3,84,44,84,133,2,27,28,83,182,27,83,false
1,1,56,56,56,56,1,27,56,56,56,27,56,true
1,1,43,43,43,43,1,27,43,43,43,27,43,false
1,3,39,16,39,49,2,27,13,38,59,27,38,false
1,5,204,42,204,210,3,27,40,124,216,27,124,true
1,4,114,33,114,133,3,27,28,88,152,27,88,false
1,3,129,44,129,133,2,27,43,128,137,27,128,true
1,2,6367,6111,6367,12222,2,27,3183,6127,18077,27,6095,true
1,1,98,98,98,98,1,27,98,98,98,27,98,false
1,2,48,25,48,50,2,27,24,48,52,27,48,false
1,10,1040,120,1040,1197,3,27,104,720,1354,27,720,false
1,3,54,19,54,59,3,27,18,54,64,27,54,false
1,6,242,46,242,275,3,27,40,232,308,27,232,true
1,2,98,50,98,100,2,27,49,97,102,27,97,false
1,2,72,36,72,73,2,27,36,72,74,27,72,false
1,1,94,94,94,94,1,27,94,94,94,27,94,false
1,2,237,128,237,257,2,27,118,237,277,27,237,true
1,2,66,39,66,79,2,27,33,65,92,27,65,false
1,4,183,50,183,203,3,27,45,185,223,27,185,false
1,1,78,78,78,78,1,27,78,78,78,27,78,false
1,4,99,27,99,108,2,27,24,98,117,27,98,false
1,2,63,33,63,67,2,27,31,63,71,27,63,false
1,2,50,26,50,53,2,27,25,50,56,27,50,false
1,4,586,161,586,645,2,27,146,585,704,27,585,true
1,2,52,26,52,53,2,27,26,52,54,27,52,false
1,2,58,29,58,59,2,27,29,58,60,27,58,false
1,7,248,41,248,288,3,27,35,198,328,27,198,true
1,3,48,18,48,56,2,27,16,48,64,27,48,false
1,1,369,369,369,369,1,27,369,369,369,27,369,false
1,1,514,514,514,514,1,27,514,514,514,27,514,false
1,1,49,49,49,49,1,27,49,49,49,27,49,false
1,2,29,15,29,30,2,27,14,29,31,27,29,false
1,4,180,48,180,195,2,27,45,168,210,27,168,false
1,3,54,18,54,55,3,27,18,45,56,27,45,false
1,2,253,127,253,255,1,27,126,251,257,27,251,false
1,1,53,53,53,53,1,27,53,53,53,27,53,false
1,2,74,38,74,76,2,27,37,74,78,27,74,false
1,3,219,82,219,247,2,27,73,222,275,27,222,false
1,3,704,247,704,742,2,27,234,703,780,27,703,true
1,2,166,88,166,177,2,27,83,166,188,27,166,false
1,1,28,28,28,28,1,27,28,28,28,27,28,false
1,6,728,155,728,931,2,27,121,714,1134,27,714,true
1,3,79,31,79,94,2,27,26,78,109,27,78,false
1,1,204,204,204,204,1,27,204,204,204,27,204,false
1,3,63,22,63,68,3,27,21,60,73,27,60,false
1,4,137,58,137,235,2,27,34,137,333,27,137,false
1,4,67,19,67,76,3,27,16,67,85,27,67,false
1,5,244,68,244,340,2,27,48,252,436,27,252,false
1,4,566,150,566,600,3,27,141,561,634,27,561,true
1,1,37,37,37,37,1,27,37,37,37,27,37,false
1,9,471,70,471,633,3,27,52,487,795,27,487,false
1,2,92,46,92,93,2,27,46,92,94,27,92,false
1,2,51,26,51,52,2,27,25,51,53,27,51,false
1,2,268,138,268,277,2,27,134,268,286,27,268,false
1,3,134,46,134,138,2,27,44,133,142,27,133,true
1,5,120,26,120,131,3,27,24,117,142,27,117,false
1,2,35,18,35,36,2,27,17,35,37,27,35,false
1,3,177,60,177,181,2,27,59,176,185,27,176,true
1,2,74,38,74,76,2,27,37,73,78,27,73,true
1,4,71,18,71,74,2,27,17,61,77,27,61,false
1,3,70,25,70,76,2,27,23,70,82,27,70,false
1,3,92,40,92,121,3,27,30,81,150,27,81,false
1,1,54,54,54,54,1,27,54,54,54,27,54,false
1,2,98,49,98,99,2,27,49,98,100,27,98,false
1,2,64,40,64,80,2,27,32,64,96,27,64,false
1,5,617,128,617,642,2,27,123,607,667,27,607,true
1,2,113,57,113,114,1,27,56,113,115,27,113,false
1,4,154,44,154,177,3,27,38,163,200,27,163,false
1,3,61,22,61,66,3,27,20,61,71,27,61,false
1,2,64,32,64,65,2,27,32,64,66,27,64,false
1,2,104,67,104,134,2,27,52,104,164,27,104,false
1,2,58,30,58,60,2,27,29,57,62,27,57,false
1,4,205,53,205,212,2,27,51,204,219,27,204,false
1,1,116,116,116,116,1,27,116,116,116,27,116,false
